Datetime,PM10 (ug/m3),Predicted_Cases_Week1,Predicted_Cases_Week2,Predicted_Cases_Week3,Predicted_Cases_Week4,Predicted_Cases_Week8,Predicted_Cases_Week12
2017-03-26,13660.67,13503.50769570288,8497.477111454296,8189.755296267513,9066.581508254265,12277.378626006092,14296.402715734348
2017-04-02,9573.75,9503.898566709442,13503.50769570288,8497.477111454296,8189.755296267513,13613.216096018004,13419.930690940944
2017-04-09,11774.58,11730.308541056918,9503.898566709442,13503.50769570288,8497.477111454296,12685.295013205872,13310.213004085588
2017-04-16,17613.67,17149.021248869565,11730.308541056918,9503.898566709442,13503.50769570288,13243.875532606622,11260.726972931388
2017-04-23,14736.42,15200.124235524632,17149.021248869565,11730.308541056918,9503.898566709442,9066.581508254265,12277.378626006092
2017-04-30,15356.42,15246.62147812922,15200.124235524632,17149.021248869565,11730.308541056918,8189.755296267513,13613.216096018004
2017-05-07,10421.58,10077.944919229667,15246.62147812922,15200.124235524632,17149.021248869565,8497.477111454296,12685.295013205872
2017-05-14,9578.67,10163.121878791479,10077.944919229667,15246.62147812922,15200.124235524632,13503.50769570288,13243.875532606622
2017-05-21,5264.67,5387.588562812074,10163.121878791479,10077.944919229667,15246.62147812922,9503.898566709442,9066.581508254265
2017-05-28,11403.08,11448.969554500054,5387.588562812074,10163.121878791479,10077.944919229667,11730.308541056918,8189.755296267513
2017-06-04,6066.59,5987.996123735745,11448.969554500054,5387.588562812074,10163.121878791479,17149.021248869565,8497.477111454296
2017-06-11,5958.75,6098.816122916401,5987.996123735745,11448.969554500054,5387.588562812074,15200.124235524632,13503.50769570288
2017-06-18,5533.25,5865.046045706666,6098.816122916401,5987.996123735745,11448.969554500054,15246.62147812922,9503.898566709442
2017-06-25,6454.5,6279.4836736194575,5865.046045706666,6098.816122916401,5987.996123735745,10077.944919229667,11730.308541056918
2017-07-02,6498.75,6428.531019166382,6279.4836736194575,5865.046045706666,6098.816122916401,10163.121878791479,17149.021248869565
2017-07-16,5243.25,5350.3667165892075,6428.531019166382,6279.4836736194575,5865.046045706666,5387.588562812074,15200.124235524632
2017-07-23,3522.75,3440.691173742165,5350.3667165892075,6428.531019166382,6279.4836736194575,11448.969554500054,15246.62147812922
2017-08-06,5035.08,4681.423095787119,3440.691173742165,5350.3667165892075,6428.531019166382,5987.996123735745,10077.944919229667
2017-08-13,8762.08,8519.745886680572,4681.423095787119,3440.691173742165,5350.3667165892075,6098.816122916401,10163.121878791479
2017-08-20,8498.83,8628.579640008222,8519.745886680572,4681.423095787119,3440.691173742165,5865.046045706666,5387.588562812074
2017-08-27,2227.42,1946.9316760125303,8628.579640008222,8519.745886680572,4681.423095787119,6279.4836736194575,11448.969554500054
2017-09-03,6503.0,6622.068785974192,1946.9316760125303,8628.579640008222,8519.745886680572,6428.531019166382,5987.996123735745
2017-09-10,6324.51,6325.277692965128,6622.068785974192,1946.9316760125303,8628.579640008222,5350.3667165892075,6098.816122916401
2017-09-17,5600.08,5775.607608915062,6325.277692965128,6622.068785974192,1946.9316760125303,3440.691173742165,5865.046045706666
2017-09-24,6859.25,6738.106892110084,5775.607608915062,6325.277692965128,6622.068785974192,4681.423095787119,6279.4836736194575
2017-10-01,8679.42,8567.372256495375,6738.106892110084,5775.607608915062,6325.277692965128,8519.745886680572,6428.531019166382
2017-10-08,6874.25,7059.723925279507,8567.372256495375,6738.106892110084,5775.607608915062,8628.579640008222,5350.3667165892075
2017-10-15,7486.09,8113.380583862706,7059.723925279507,8567.372256495375,6738.106892110084,1946.9316760125303,3440.691173742165
2017-10-22,13256.25,12768.711128658322,8113.380583862706,7059.723925279507,8567.372256495375,6622.068785974192,4681.423095787119
2017-10-29,12991.0,12899.15544465301,12768.711128658322,8113.380583862706,7059.723925279507,6325.277692965128,8519.745886680572
2017-11-05,9423.25,9091.647897255485,12899.15544465301,12768.711128658322,8113.380583862706,5775.607608915062,8628.579640008222
2017-11-12,10158.25,10295.11484145127,9091.647897255485,12899.15544465301,12768.711128658322,6738.106892110084,1946.9316760125303
2017-11-19,10207.34,9960.38033804347,10295.11484145127,9091.647897255485,12899.15544465301,8567.372256495375,6622.068785974192
2017-11-26,11161.25,11014.438987736874,9960.38033804347,10295.11484145127,9091.647897255485,7059.723925279507,6325.277692965128
2017-12-03,10625.58,10549.357909170307,11014.438987736874,9960.38033804347,10295.11484145127,8113.380583862706,5775.607608915062
2017-12-10,14185.75,14116.118466979284,10549.357909170307,11014.438987736874,9960.38033804347,12768.711128658322,6738.106892110084
2017-12-17,13037.92,13273.893345246066,14116.118466979284,10549.357909170307,11014.438987736874,12899.15544465301,8567.372256495375
2017-12-24,14322.58,14585.804276518895,13273.893345246066,14116.118466979284,10549.357909170307,9091.647897255485,7059.723925279507
2017-12-31,16012.42,16185.948057488327,14585.804276518895,13273.893345246066,14116.118466979284,10295.11484145127,8113.380583862706
2018-01-07,14249.33,14530.725342087768,16185.948057488327,14585.804276518895,13273.893345246066,9960.38033804347,12768.711128658322
2018-01-14,19328.25,19553.665903522906,14530.725342087768,16185.948057488327,14585.804276518895,11014.438987736874,12899.15544465301
2018-01-21,14884.5,14758.763766667547,19553.665903522906,14530.725342087768,16185.948057488327,10549.357909170307,9091.647897255485
2018-01-28,15059.0,14865.062613737231,14758.763766667547,19553.665903522906,14530.725342087768,14116.118466979284,10295.11484145127
2018-02-04,5974.17,6362.855678005814,14865.062613737231,14758.763766667547,19553.665903522906,13273.893345246066,9960.38033804347
2018-02-11,11391.0,11368.901236800517,6362.855678005814,14865.062613737231,14758.763766667547,14585.804276518895,11014.438987736874
2018-02-18,12413.25,12304.743738428837,11368.901236800517,6362.855678005814,14865.062613737231,16185.948057488327,10549.357909170307
2018-02-25,12758.0,12478.3335524956,12304.743738428837,11368.901236800517,6362.855678005814,14530.725342087768,14116.118466979284
2018-03-04,9420.25,9603.119590081516,12478.3335524956,12304.743738428837,11368.901236800517,19553.665903522906,13273.893345246066
2018-03-11,12906.17,12642.058739203048,9603.119590081516,12478.3335524956,12304.743738428837,14758.763766667547,14585.804276518895
2018-03-18,9473.83,9585.127963121671,12642.058739203048,9603.119590081516,12478.3335524956,14865.062613737231,16185.948057488327
2018-03-25,9745.5,9606.292452632848,9585.127963121671,12642.058739203048,9603.119590081516,6362.855678005814,14530.725342087768
2018-04-01,14779.58,14530.727199395813,9606.292452632848,9585.127963121671,12642.058739203048,11368.901236800517,19553.665903522906
2018-04-08,14332.25,14230.750590924354,14530.727199395813,9606.292452632848,9585.127963121671,12304.743738428837,14758.763766667547
2018-04-15,9420.91,9320.420328524024,14230.750590924354,14530.727199395813,9606.292452632848,12478.3335524956,14865.062613737231
2018-04-22,3754.92,2433.719578039706,9320.420328524024,14230.750590924354,14530.727199395813,9603.119590081516,6362.855678005814
2018-04-29,10194.92,10237.55222183563,2433.719578039706,9320.420328524024,14230.750590924354,12642.058739203048,11368.901236800517
2018-05-06,11037.08,11169.383866738612,10237.55222183563,2433.719578039706,9320.420328524024,9585.127963121671,12304.743738428837
2018-05-13,5327.5,5312.605786705991,11169.383866738612,10237.55222183563,2433.719578039706,9606.292452632848,12478.3335524956
